440.00000,37896.78125
440.50000,37790.81250
441.00000,37658.15625
441.50000,37489.67188
442.00000,37300.80078
442.50000,37102.98828
443.00000,36907.41797
443.50000,36721.16406
444.00000,36547.86328
444.50000,36390.42188
445.00000,36253.69922
445.50000,36140.60938
446.00000,36059.50781
446.50000,36007.89453
447.00000,35989.66016
447.50000,35995.37500
448.00000,36026.22266
448.50000,36078.32422
449.00000,36148.44531
449.50000,36228.55859
450.00000,36307.58594
450.50000,36377.80078
451.00000,36437.21094
451.50000,36482.77734
452.00000,36517.24219
452.50000,36538.42969
453.00000,36545.61719
453.50000,36537.41016
454.00000,36517.48047
454.50000,36496.26563
455.00000,36485.90234
455.50000,36490.16016
456.00000,36509.88672
456.50000,36534.95703
457.00000,36552.61328
457.50000,36555.93750
458.00000,36542.01563
458.50000,36513.27344
459.00000,36472.69922
459.50000,36421.28125
460.00000,36361.54688
460.50000,36294.33984
461.00000,36223.03516
461.50000,36149.14453
462.00000,36073.58594
462.50000,35994.32422
463.00000,35910.64844
463.50000,35824.65234
464.00000,35742.23828
464.50000,35671.42969
465.00000,35621.60547
465.50000,35586.37891
466.00000,35559.01953
466.50000,35528.14063
467.00000,35484.98047
467.50000,35430.57031
468.00000,35375.01563
468.50000,35329.03516
469.00000,35298.41016
469.50000,35283.63281
470.00000,35274.51953
470.50000,35256.60547
471.00000,35223.48438
471.50000,35170.60156
472.00000,35105.01172
472.50000,35036.66016
473.00000,34979.17188
473.50000,34941.28125
474.00000,34928.49219
474.50000,34938.44922
475.00000,34972.28125
475.50000,35022.46875
476.00000,35086.06250
476.50000,35156.80859
477.00000,35229.40234
477.50000,35295.36328
478.00000,35338.80078
478.50000,35345.83594
479.00000,35310.89844
479.50000,35226.43359
480.00000,35105.05859
480.50000,34951.58594
481.00000,34787.45703
481.50000,34624.56641
482.00000,34468.98828
482.50000,34323.72656
483.00000,34189.49219
483.50000,34067.25391
484.00000,33960.02734
484.50000,33868.50391
485.00000,33798.69922
485.50000,33747.42969
486.00000,33717.80859
486.50000,33701.69531
487.00000,33693.48828
487.50000,33686.30859
488.00000,33673.38281
488.50000,33647.38672
489.00000,33605.06250
489.50000,33544.12109
490.00000,33469.83203
490.50000,33384.64063
491.00000,33296.23047
491.50000,33213.67578
492.00000,33144.36719
492.50000,33094.87891
493.00000,33070.03125
493.50000,33069.63281
494.00000,33096.79297
494.50000,33143.35547
495.00000,33205.53516
495.50000,33274.66406
496.00000,33344.70313
496.50000,33408.55078
497.00000,33456.92969
497.50000,33484.95313
498.00000,33491.19922
498.50000,33474.25000
499.00000,33440.34375
499.50000,33391.67969
500.00000,33337.25391
500.50000,33281.87891
501.00000,33229.43750
501.50000,33183.61328
502.00000,33146.89453
502.50000,33120.77734
503.00000,33103.69922
503.50000,33091.84766
504.00000,33083.43750
504.50000,33077.78906
505.00000,33081.41016
505.50000,33101.97266
506.00000,33149.94141
506.50000,33227.44922
507.00000,33332.62109
507.50000,33457.06250
508.00000,33584.53906
508.50000,33698.84766
509.00000,33793.28516
509.50000,33858.32813
510.00000,33898.78516
510.50000,33911.64453
511.00000,33901.91406
511.50000,33871.73438
512.00000,33822.46875
512.50000,33756.53906
513.00000,33674.57031
513.50000,33581.22266
514.00000,33479.38281
514.50000,33373.85156
515.00000,33266.74219
515.50000,33160.38281
516.00000,33057.57813
516.50000,32962.15234
517.00000,32877.65625
517.50000,32808.20703
518.00000,32753.53516
518.50000,32714.42578
519.00000,32683.95508
519.50000,32654.92773
520.00000,32621.67578
520.50000,32581.66406
521.00000,32536.86133
521.50000,32491.47070
522.00000,32450.68750
522.50000,32415.91016
523.00000,32386.29492
523.50000,32358.06250
524.00000,32327.38867
524.50000,32291.92578
525.00000,32249.83789
525.50000,32202.86719
526.00000,32152.75977
526.50000,32102.45313
527.00000,32055.96289
527.50000,32019.99609
528.00000,31998.17969
528.50000,31995.78906
529.00000,32008.62500
529.50000,32035.45117
530.00000,32069.41602
530.50000,32105.94531
531.00000,32143.10352
531.50000,32182.96875
532.00000,32229.78906
532.50000,32286.26172
533.00000,32355.88281
533.50000,32434.46484
534.00000,32516.15234
534.50000,32593.81055
535.00000,32660.14453
535.50000,32711.07227
536.00000,32742.57031
536.50000,32752.79297
537.00000,32745.65234
537.50000,32721.21289
538.00000,32685.17578
538.50000,32639.50586
539.00000,32590.04883
539.50000,32540.84375
540.00000,32494.33789
540.50000,32451.91992
541.00000,32414.41797
541.50000,32382.98828
542.00000,32362.14063
542.50000,32354.02344
543.00000,32364.17969
543.50000,32389.20117
544.00000,32427.65820
544.50000,32471.29492
545.00000,32510.85547
545.50000,32540.38477
546.00000,32558.91602
546.50000,32568.65234
547.00000,32575.38477
547.50000,32584.70508
548.00000,32599.90039
548.50000,32621.86523
549.00000,32647.37500
549.50000,32673.36719
550.00000,32696.58984
550.50000,32714.32813
551.00000,32724.82422
551.50000,32729.78906
552.00000,32729.89063
552.50000,32726.58203
553.00000,32717.49219
553.50000,32699.12305
554.00000,32660.60352
554.50000,32597.67969
555.00000,32506.87109
555.50000,32392.41602
556.00000,32266.31836
556.50000,32145.10352
557.00000,32044.83008
557.50000,31979.39453
558.00000,31942.83008
558.50000,31934.16406
559.00000,31941.96875
559.50000,31960.07813
560.00000,31984.66406
560.50000,32014.70898
561.00000,32049.31055
561.50000,32083.54688
562.00000,32107.24219
562.50000,32110.43164
563.00000,32076.18359
563.50000,32008.61328
564.00000,31908.20313
564.50000,31784.73438
565.00000,31646.42578
565.50000,31498.11328
566.00000,31341.41797
566.50000,31174.22070
